Topic,Count,Name,Representation,Representative_Docs
9,72,9_dgn_as_yg_tidak,"['dgn', 'as', 'yg', 'tidak', 'berpendirian', 'bermitra', 'sungkantakut', 'iraq', 'penurut', 'south']","['saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil']"
10,69,10_pak_apa_cc_drs,"['pak', 'apa', 'cc', 'drs', 'lg', 'pake', 'sby', 'tdk', 'gak', 'kami']","['klw presiden menntn nnt prsdn telepon kdm hai kdm anda bicara jngn keras gitu bicaranya jngn nyindir km seakn kau lebih hebat dr pejuang ya apkh kau mau melwn kami ap kamu yg kami tenggelamkn ll kdm menjwb maaf pak tdk pak tdk berani sy pak itu kt sy bkn prsdnampkdm sy takut jg', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp awasgerombolansop', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp']"
11,63,11_dg_jokowi_amsterdam_paris,"['dg', 'jokowi', 'amsterdam', 'paris', 'bersihkan', 'bertanya', 'diaspora', 'jawaban', 'sigit', 'orangorang']","['dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu', 'dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu', 'dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu']"
12,63,12_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
13,62,13_bapak_tni_kasad_bekerjasama,"['bapak', 'tni', 'kasad', 'bekerjasama', 'beserta', 'tertimpa', 'membahu', 'hormat', 'ad', 'bahu']","['atas perintah bapak presiden tni ad bergerak cepat dalam upaya penanganan serta pemulihan bagi saudara kita yg tertimpa bencana hormat dan bangga bapak kasad tni beserta seluruh jajaran yg bahu membahu dan bekerjasama', 'atas perintah bapak presiden tni ad bergerak cepat dalam upaya penanganan serta pemulihan bagi saudara kita yg tertimpa bencana hormat dan bangga bapak kasad tni beserta seluruh jajaran yg bahu membahu dan bekerjasama', 'atas perintah bapak presiden tni ad bergerak cepat dalam upaya penanganan serta pemulihan bagi saudara kita yg tertimpa bencana hormat dan bangga bapak kasad tni beserta seluruh jajaran yg bahu membahu dan bekerjasama']"
14,61,14_baik_baru_lebih_tahun,"['baik', 'baru', 'lebih', 'tahun', 'melangkah', 'menyala', 'maju', 'semakin', 'semangat', 'semoga']","['selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik']"
15,60,15_ganti_aja_jadi_ga,"['ganti', 'aja', 'jadi', 'ga', 'kalo', 'nya', 'presiden', 'muka', 'kagak', 'gamau']","['presiden amp prabowo merupakan hal yg berbeda jd kalo kritik presiden prabowo ya sah aja krn orang nya suka rela nyalon jd presiden justru aneh kali ada orang yg ngefans sama presiden', 'udah tau umur kagak muda lagi alias udah tua ngapain jadi presiden udh begitu mau ngeluh karena hari kerja kagak berhenti berhenti oon namanya resiko lu gembrot karena jadi presiden mana kagak becus pula', 'kalo bapak gua jadi presiden jg bisa gua ini ngomong kek gini gausah jadi presiden dah masih idup aja udh syukur guaa']"
16,58,16_anggapan_bersumber_waspada_terlebih,"['anggapan', 'bersumber', 'waspada', 'terlebih', 'menilai', 'mengingatkan', 'narasi', 'suka', 'pihak', 'kekuatan']","['presiden prabowo mengingatkan kepada semua pihak untuk waspada terhadap kekuatan luar yang tidak suka indonesia kuat terlebih kata prabowo ada narasi yang sudah menyebut kalau pemerintah tidak hadir dalam bencana sumatra presiden prabowo menilai anggapan tersebut bersumber', 'presiden prabowo mengingatkan kepada semua pihak untuk waspada terhadap kekuatan luar yang tidak suka indonesia kuat terlebih kata prabowo ada narasi yang sudah menyebut kalau pemerintah tidak hadir dalam bencana sumatra presiden prabowo menilai anggapan tersebut bersumber', 'presiden prabowo mengingatkan kepada semua pihak untuk waspada terhadap kekuatan luar yang tidak suka indonesia kuat terlebih kata prabowo ada narasi yang sudah menyebut kalau pemerintah tidak hadir dalam bencana sumatra presiden prabowo menilai anggapan tersebut bersumber']"
17,58,17_sekolah_rakyat_kesehatan_makin,"['sekolah', 'rakyat', 'kesehatan', 'makin', 'gratis', 'mbg', 'lewat', 'skrining', 'prabowo', 'sop']","['presiden prabowo nunjukkin komitmen kuat ke kesehatan masyarakat lewat skrining secara gratis', 'presiden prabowo nggak cuma janji tapi hadir lewat aksi nyata kayak skrining kesehatan gratis', 'presiden prabowo buktikan komitmen lewat sekolah rakyat rakyat makin percaya diri']"
18,58,18_dibandingin_atau_dikomentari_donnie,"['dibandingin', 'atau', 'dikomentari', 'donnie', 'pengamatan', 'syahrir', 'manteman', 'kejauhan', 'malik', 'adam']","['gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman', 'gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman', 'gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman']"
19,57,19_pembenci_mohon_maaf_bagi,"['pembenci', 'mohon', 'maaf', 'bagi', 'para', 'presiden', '', '', '', '']","['mohon maaf bagi para pembenci presiden', 'mohon maaf bagi para pembenci presiden', 'mohon maaf bagi para pembenci presiden']"
20,56,20_juga_lu_gak_kayak,"['juga', 'lu', 'gak', 'kayak', 'nyuruh', 'masing', 'ya', 'sawit', 'kagak', 'tuh']","['mengadi negeri gimana lu gak teges pas ada ruu kuhp disahkan lu gak teges pas bencana dan lu juga yang punya lahan sawit dengan luas hektar dan lu presiden dan punya sawit jujur gw takut qrt gini bentar gw gembokan dulu', 'ga nyuruh jd presiden juga si', 'gak ada yg nyuruh juga lu jadi presiden gausa ngeluh semua orang juga kerja tupoksi nya masing masing']"
21,56,21_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
22,55,22_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
23,55,23_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
24,55,24_dg_jokowi_amsterdam_paris,"['dg', 'jokowi', 'amsterdam', 'paris', 'bersihkan', 'bertanya', 'diaspora', 'jawaban', 'sigit', 'orangorang']","['dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu', 'dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu', 'dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu']"
25,54,25_akalakalan_merangkap_dprd_jubir,"['akalakalan', 'merangkap', 'dprd', 'jubir', 'pilkada', 'lewat', 'menlu', 'ketus', 'tampang', 'tedy']","['menlu merangkap jubir akalakalan pilkada lewat dprd', 'menlu merangkap jubir akalakalan pilkada lewat dprd', 'menlu merangkap jubir akalakalan pilkada lewat dprd']"
26,53,26_dgn_as_yg_tidak,"['dgn', 'as', 'yg', 'tidak', 'berpendirian', 'bermitra', 'sungkantakut', 'iraq', 'penurut', 'south']","['saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil']"
27,51,27_dibandingin_atau_dikomentari_donnie,"['dibandingin', 'atau', 'dikomentari', 'donnie', 'pengamatan', 'manteman', 'syahrir', 'kejauhan', 'barusan', 'silakan']","['gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman', 'gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman', 'gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman']"
28,50,28_india_kemlu_sumatera_inidiplomasi,"['india', 'kemlu', 'sumatera', 'inidiplomasi', 'negeri', 'kemenlu', 'sugiono', 'kabinetmerahputih', 'asing', 'indonesia']","['menteri luar negeri menlu sugiono secara resmi melepas ton bantuan kemanusiaan untuk korban bencana di tiga provinsi aceh sumatera utara dan sumatera barat dalam sebuah acara di kantor kemlu ri jakarta pada jumat siang bantuan yang dikumpulkan dari para', 'menlu sugiono mewakili presiden prabowo subianto dalam ktt aseanindia ke di kuala lumpur malaysia dalam pidatonya sugiono menyoroti peluang kerja sama antara indonesia dan india dalam program mbg _', 'menlu sugiono menjadi salah pembicara di ktt aseanindia ke di kuala lumpur malaysia dlm pidatonya sugiono berbicara peluang indonesia amp india bekerja sama dlm mengerjakan programmakan bergizi gratis pertemuan berlangsung minggu ini dihadiri pm india']"
29,50,29_wn_brutal_terancam_area,"['wn', 'brutal', 'terancam', 'area', 'bersenjata', 'tambang', 'aksi', 'emas', 'serang', 'kedaulatan']","['kedaulatan negara sudah terancam secara nyata aksi brutal wn china bersenjata serang tni di area tambang emas', 'kedaulatan negara sudah terancam secara nyata aksi brutal wn china bersenjata serang tni di area tambang emas', 'kedaulatan negara sudah terancam secara nyata aksi brutal wn china bersenjata serang tni di area tambang emas']"
30,49,30_hrs_saudi_arabia_dipojokkan,"['hrs', 'saudi', 'arabia', 'dipojokkan', 'ironis', 'reynhard', 'ahlanwasahlanibhrs', 'kriminal', 'super', 'sungguh']","['reynhard di inggris yg jelas super kriminal n memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs di saudi arabia malah dipojokkan pernyataan menko n dubes ri di saudi sungguh tak adil n ironis selamat datang hrs ahlanwasahlanibhrs', 'reynhard di inggris yg jelas super kriminal n memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs di saudi arabia malah dipojokkan pernyataan menko n dubes ri di saudi sungguh tak adil n ironis selamat datang hrs ahlanwasahlanibhrs', 'reynhard di inggris yg jelas super kriminal n memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs di saudi arabia malah dipojokkan pernyataan menko n dubes ri di saudi sungguh tak adil n ironis selamat datang hrs ahlanwasahlanibhrs']"
31,48,31_baik_baru_lebih_tahun,"['baik', 'baru', 'lebih', 'tahun', 'melangkah', 'menyala', 'maju', 'semakin', 'semoga', 'semangat']","['selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik']"
32,48,32_dgn_as_yg_tidak,"['dgn', 'as', 'yg', 'tidak', 'berpendirian', 'bermitra', 'sungkantakut', 'iraq', 'penurut', 'south']","['saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil']"
33,46,33_dgn_as_yg_tidak,"['dgn', 'as', 'yg', 'tidak', 'berpendirian', 'bermitra', 'sungkantakut', 'iraq', 'penurut', 'south']","['saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil']"
34,45,34_dgn_as_yg_tidak,"['dgn', 'as', 'yg', 'tidak', 'berpendirian', 'bermitra', 'sungkantakut', 'iraq', 'penurut', 'south']","['saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil']"
